bloque,familia_politica
frente civico por santiago,provincial_federal
frente de todos,peronismo_kirchnerismo
frente para la victoria - pj,peronismo_kirchnerismo
union pro,centro_derecha
pro,centro_derecha
ser - somos energia para renovar,provincial_federal
por santa cruz,provincial_federal
cambio federal,provincial_federal
hacemos coalición federal,peronismo_federal
encuentro federal,peronismo_federal
santa fe federal,provincial_federal
peronismo federal,peronismo_federal
ucr,radicalismo
ucr - unión cívica radical,radicalismo
frente peronista,peronismo_federal
compromiso federal,peronismo_federal
unión por la patria,peronismo_kirchnerismo
democracia para siempre,radicalismo
la libertad avanza,derecha_liberal_libertaria
frente justicia union y libertad - frejuli,peronismo_federal
coalicion civica - ari - gen - upt,centro_derecha
gen,centro_izquierda
frente renovador,peronismo_federal
federal unidos por una nueva argentina,peronismo_federal
todos juntos por san juan,provincial_federal
frente civico - cordoba,provincial_federal
unidad justicialista,peronismo_federal
pais federal,provincial_federal
innovación federal,provincial_federal
produccion y trabajo,provincial_federal
accion federal,provincial_federal
union celeste y blanco,centro_derecha
peronista,peronismo_federal
nucleo unidad peronista,peronismo_federal
de la concertacion,peronismo_kirchnerismo
unidad y equidad federal,provincial_federal
evolucion radical,radicalismo
avanzar san luis,provincial_federal
bloque unipersonal,sin_bloque
democrata,centro_derecha
partido liberal de corrientes,derecha_liberal_libertaria
movimiento proyecto sur,centro_izquierda
proyecto sur - unen,centro_izquierda
liga del interior,provincial_federal
liga del interior eli,provincial_federal
fuerzas del cielo - espacio liberal,derecha_liberal_libertaria
fe,peronismo_federal
f.c.e.,derecha_liberal_libertaria
fuerzas del cielo - espacio liberal f.c.e,derecha_liberal_libertaria
transformación b.t,centro_derecha
transformación,centro_derecha
coherencia,derecha_liberal_libertaria
provincias unidas,provincial_federal
red por argentina,peronismo_federal
peronismo cordobes,peronismo_federal
peronista cordoba ciudadana,peronismo_kirchnerismo
unir,derecha_liberal_libertaria
partido por la justicia social,provincial_federal
elijo catamarca,provincial_federal
unidos por san luis,provincial_federal
justicialista,peronismo_federal
coalicion civica,centro_derecha
adelante buenos aires,centro_derecha
partido socialista,centro_izquierda
unidos,provincial_federal
encuentro popular,centro_izquierda
encuentro popular y social,centro_izquierda
nuevo encuentro popular y solidario,peronismo_kirchnerismo
ari autonomo 8 +,centro_izquierda
solidaridad e igualdad (si) - ari (t.d.f.),centro_izquierda
solidaridad e igualdad (si) - proyecto progresista,centro_izquierda
proyecto progresista,centro_izquierda
social patagonico,provincial_federal
solidaridad e igualdad (si),centro_izquierda
si por la unidad popular,centro_izquierda
unidad popular,centro_izquierda
trabajo y dignidad,centro_izquierda
brigadier general juan bautista bustos,provincial_federal
nuevo encuentro,peronismo_kirchnerismo
frente nuevo encuentro,peronismo_kirchnerismo
partido obrero -frente de izquierda y de trabajadores -unida,izquierda
udeso salta,centro_derecha
dialogo por buenos aires,centro_izquierda
coalición cívica,centro_derecha
mov pop fueguino,provincial_federal
pts - frente de izquierda,izquierda
frente de izquierda y de trabajadores - unidad,izquierda
pts - frente de izquierda y de trabajadores - unidad,izquierda
frente de izquierda y de trabajadores unidad,izquierda
pts-frente de izquierda unidad,izquierda
mst - frente de izquierda y trabajadores unidad,izquierda
unidos por una nueva argentina,peronismo_federal
mov pop neuquino,provincial_federal
frente civico y social de catamarca,provincial_federal
cordoba federal,provincial_federal
hacemos por nuestro país,peronismo_federal
union por todos,centro_derecha
consenso federal,peronismo_federal
