id,apellido,nombre,genero,distrito,inicio,fin,juramento,cese,bloque,bloque_inicio,bloque_fin
hcdn1136,abdala de matarazzo,norma amanda,f,santiago del estero,2009-12-10,2013-12-09,2009-12-03,2013-12-09,frente civico por santiago,2009-12-10,2013-12-09
hcdn1136,abdala de matarazzo,norma amanda,f,santiago del estero,2013-12-10,2017-12-09,2013-12-04,2017-12-09,frente civico por santiago,2013-12-10,2017-12-09
hcdn1136,abdala de matarazzo,norma amanda,f,santiago del estero,2017-12-10,2021-12-09,2017-12-06,2021-12-09,frente civico por santiago,2017-12-10,2019-12-09
hcdn1136,abdala de matarazzo,norma amanda,f,santiago del estero,2017-12-10,2021-12-09,2017-12-06,2021-12-09,frente de todos,2019-12-10,2021-12-09
hcdn1382,abraham,alejandro,m,mendoza,2013-12-10,2017-12-09,2013-12-04,2017-12-09,frente para la victoria - pj,2013-12-13,2017-12-09
hcdn1441,acerenza,samanta maria celeste,f,buenos aires,2015-12-10,2019-12-09,2015-12-04,2019-12-09,union pro,2015-12-10,2017-12-09
hcdn1441,acerenza,samanta maria celeste,f,buenos aires,2015-12-10,2019-12-09,2015-12-04,2019-12-09,pro,2017-12-10,2019-12-09
hcdn0055,acevedo,sergio,m,santa cruz,2021-12-10,2025-12-09,2023-12-07,2025-09-15,ser - somos energia para renovar,2023-12-08,2023-12-12
hcdn0055,acevedo,sergio,m,santa cruz,2021-12-10,2025-12-09,2023-12-07,2025-09-15,por santa cruz,2023-12-12,2025-09-15
hcdn0970,acosta,maria julia,f,catamarca,2007-12-10,2011-12-09,2007-12-05,2011-12-09,frente para la victoria - pj,2007-12-10,2011-12-09
hcdn3018,agost carreño,oscar,m,cordoba,2021-12-10,2025-12-09,2023-08-23,2025-12-09,pro,2023-08-23,2023-12-09
hcdn3018,agost carreño,oscar,m,cordoba,2021-12-10,2025-12-09,2023-08-23,2025-12-09,cambio federal,2023-12-10,2023-12-27
hcdn3018,agost carreño,oscar,m,cordoba,2021-12-10,2025-12-09,2023-08-23,2025-12-09,hacemos coalición federal,2023-12-27,2024-08-07
hcdn3018,agost carreño,oscar,m,cordoba,2021-12-10,2025-12-09,2023-08-23,2025-12-09,encuentro federal,2024-08-07,2025-12-09
hcdn0971,agosto,walter alfredo,m,santa fe,2007-12-10,2011-12-09,2007-12-05,2011-12-09,frente para la victoria - pj,2007-12-10,2009-02-23
hcdn0971,agosto,walter alfredo,m,santa fe,2007-12-10,2011-12-09,2007-12-05,2011-12-09,santa fe federal,2009-02-24,2009-12-09
hcdn0971,agosto,walter alfredo,m,santa fe,2007-12-10,2011-12-09,2007-12-05,2011-12-09,peronismo federal,2009-12-10,2011-12-09
hcdn0845,aguad,oscar raul,m,cordoba,2009-12-10,2013-12-09,2009-12-03,2013-12-09,ucr,2009-12-10,2013-12-09
hcdn0845,aguad,oscar raul,m,cordoba,2013-12-10,2017-12-09,2013-12-04,2015-12-09,ucr,2013-12-10,2015-12-09
hcdn3166,aguero,guillermo cesar,m,chaco,2025-12-10,2029-12-09,,2029-12-09,ucr - unión cívica radical,2025-12-10,2029-12-09
hcdn1232,aguilar,lino walter,m,san luis,2011-12-10,2015-12-09,2011-12-06,2015-12-09,frente peronista,2011-12-10,2013-09-16
hcdn1232,aguilar,lino walter,m,san luis,2011-12-10,2015-12-09,2011-12-06,2015-12-09,compromiso federal,2013-09-17,2015-12-09
hcdn0972,aguirre,hilda,f,la rioja,2007-12-10,2011-12-09,2007-12-05,2011-12-09,frente para la victoria - pj,2007-12-10,2011-12-09
hcdn0972,aguirre,hilda,f,la rioja,2019-12-10,2023-12-09,2019-12-04,2023-12-09,frente de todos,2019-12-10,2023-12-09
hcdn0972,aguirre,hilda,f,la rioja,2023-12-10,2027-12-09,2023-12-07,2027-12-09,unión por la patria,2023-12-10,2027-12-09
hcdn2959,aguirre,manuel ignacio,m,corrientes,2021-12-10,2025-12-09,2021-12-07,2025-12-09,ucr,2021-12-10,2023-12-09
hcdn2959,aguirre,manuel ignacio,m,corrientes,2021-12-10,2025-12-09,2021-12-07,2025-12-09,ucr - unión cívica radical,2023-12-10,2024-10-24
hcdn2959,aguirre,manuel ignacio,m,corrientes,2021-12-10,2025-12-09,2021-12-07,2025-12-09,democracia para siempre,2024-10-24,2025-12-09
hcdn2349,aicega,juan,m,buenos aires,2017-12-10,2021-12-09,2017-12-06,2021-12-09,pro,2017-12-10,2021-12-09
hcdn2916,ajmechet,sabrina,f,ciudad de buenos aires,2021-12-10,2025-12-09,2021-12-07,2025-12-09,pro,2021-12-10,2023-12-09
hcdn2916,ajmechet,sabrina,f,ciudad de buenos aires,2021-12-10,2025-12-09,2021-12-07,2025-12-09,pro,2023-12-10,2025-11-03
hcdn2916,ajmechet,sabrina,f,ciudad de buenos aires,2021-12-10,2025-12-09,2021-12-07,2025-12-09,la libertad avanza,2025-11-03,2025-12-09
hcdn2916,ajmechet,sabrina,f,ciudad de buenos aires,2025-12-10,2029-12-09,,2029-12-09,la libertad avanza,2025-12-10,2029-12-09
hcdn1101,albarracin,jorge luis,m,mendoza,2009-12-10,2013-12-09,2011-12-06,2013-12-09,ucr,2011-12-10,2013-12-09
hcdn1572,albornoz,gabriela romina,f,jujuy,2013-12-10,2017-12-09,2016-03-01,2017-12-09,ucr,2016-03-01,2017-12-09
hcdn1137,albrieu,oscar edmundo nicolas,m,rio negro,2009-12-10,2013-12-09,2009-12-03,2013-12-01,frente para la victoria - pj,2009-12-10,2013-12-01
hcdn0163,albrisi,cesar alfredo,m,cordoba,2007-12-10,2011-12-09,2007-12-05,2010-04-14,frente justicia union y libertad - frejuli,2007-12-10,2009-12-09
hcdn0163,albrisi,cesar alfredo,m,cordoba,2007-12-10,2011-12-09,2007-12-05,2010-04-14,peronismo federal,2009-12-10,2010-04-14
hcdn1068,alcuaz,horacio alberto,m,buenos aires,2007-12-10,2011-12-09,2007-12-19,2011-12-09,coalicion civica - ari - gen - upt,2007-12-10,2009-11-11
hcdn1068,alcuaz,horacio alberto,m,buenos aires,2007-12-10,2011-12-09,2007-12-19,2011-12-09,gen,2009-11-12,2011-12-09
hcdn2859,alderete,juan carlos,m,buenos aires,2019-12-10,2023-12-09,2019-12-19,2023-12-09,frente de todos,2019-12-19,2023-12-09
hcdn1338,alegre,gilberto oscar,m,buenos aires,2013-12-10,2017-12-09,2013-12-04,2017-12-09,frente renovador,2013-12-10,2015-12-09
hcdn1338,alegre,gilberto oscar,m,buenos aires,2013-12-10,2017-12-09,2013-12-04,2017-12-09,federal unidos por una nueva argentina,2015-12-10,2017-12-09
hcdn0973,alfaro,german enrique,m,tucuman,2007-12-10,2011-12-09,2007-12-05,2011-10-21,frente para la victoria - pj,2007-12-10,2011-10-21
hcdn1138,alfonsin,ricardo luis,m,buenos aires,2009-12-10,2013-12-09,2009-12-03,2013-12-09,ucr,2009-12-10,2013-12-09
hcdn1138,alfonsin,ricardo luis,m,buenos aires,2013-12-10,2017-12-09,2013-12-04,2017-12-09,ucr,2013-12-10,2017-12-09
hcdn3140,ali,ernesto "pipi",m,san luis,2023-12-10,2027-12-09,2024-01-31,2027-12-09,unión por la patria,2024-01-31,2027-12-09
hcdn2912,alianiello,eugenia,f,chubut,2021-12-10,2025-12-09,2021-12-07,2025-12-09,frente de todos,2021-12-10,2023-12-09
hcdn2912,alianiello,eugenia,f,chubut,2021-12-10,2025-12-09,2021-12-07,2025-12-09,unión por la patria,2023-12-10,2025-12-09
hcdn1222,alizegui,antonio anibal,m,entre rios,2007-12-10,2011-12-09,2009-12-03,2011-12-09,frente para la victoria - pj,2009-12-10,2011-12-09
hcdn2350,allende,walberto,m,san juan,2017-12-10,2021-12-09,2017-12-06,2021-12-09,todos juntos por san juan,2017-12-10,2019-12-09
