"ID","APELLIDO","NOMBRE","GENERO","DISTRITO","INICIO","FIN","JURAMENTO","CESE","BLOQUE","BLOQUE_INICIO","BLOQUE_FIN"
"HCDN1136","ABDALA DE MATARAZZO","NORMA AMANDA","F","SANTIAGO DEL ESTERO","2009-12-10T00:00:00","2013-12-09T00:00:00","2009-12-03T00:00:00","2013-12-09T00:00:00","FRENTE CIVICO POR SANTIAGO","2009-12-10T00:00:00","2013-12-09T00:00:00"
"HCDN1136","ABDALA DE MATARAZZO","NORMA AMANDA","F","SANTIAGO DEL ESTERO","2013-12-10T00:00:00","2017-12-09T00:00:00","2013-12-04T00:00:00","2017-12-09T00:00:00","FRENTE CIVICO POR SANTIAGO","2013-12-10T00:00:00","2017-12-09T00:00:00"
"HCDN1136","ABDALA DE MATARAZZO","NORMA AMANDA","F","SANTIAGO DEL ESTERO","2017-12-10T00:00:00","2021-12-09T00:00:00","2017-12-06T00:00:00","2021-12-09T00:00:00","FRENTE CIVICO POR SANTIAGO","2017-12-10T00:00:00","2019-12-09T00:00:00"
"HCDN1136","ABDALA DE MATARAZZO","NORMA AMANDA","F","SANTIAGO DEL ESTERO","2017-12-10T00:00:00","2021-12-09T00:00:00","2017-12-06T00:00:00","2021-12-09T00:00:00","FRENTE DE TODOS","2019-12-10T00:00:00","2021-12-09T00:00:00"
"HCDN1382","ABRAHAM","ALEJANDRO","M","MENDOZA","2013-12-10T00:00:00","2017-12-09T00:00:00","2013-12-04T00:00:00","2017-12-09T00:00:00","FRENTE PARA LA VICTORIA - PJ","2013-12-13T00:00:00","2017-12-09T00:00:00"
"HCDN1441","ACERENZA","SAMANTA MARIA CELESTE","F","BUENOS AIRES","2015-12-10T00:00:00","2019-12-09T00:00:00","2015-12-04T00:00:00","2019-12-09T00:00:00","UNION PRO","2015-12-10T00:00:00","2017-12-09T00:00:00"
"HCDN1441","ACERENZA","SAMANTA MARIA CELESTE","F","BUENOS AIRES","2015-12-10T00:00:00","2019-12-09T00:00:00","2015-12-04T00:00:00","2019-12-09T00:00:00","PRO","2017-12-10T00:00:00","2019-12-09T00:00:00"
"HCDN0055","ACEVEDO","SERGIO","M","SANTA CRUZ","2021-12-10T00:00:00","2025-12-09T00:00:00","2023-12-07T00:00:00","2025-09-15T00:00:00","SER - SOMOS ENERGIA PARA RENOVAR","2023-12-08T00:00:00","2023-12-12T00:00:00"
"HCDN0055","ACEVEDO","SERGIO","M","SANTA CRUZ","2021-12-10T00:00:00","2025-12-09T00:00:00","2023-12-07T00:00:00","2025-09-15T00:00:00","POR SANTA CRUZ","2023-12-12T00:00:00","2025-09-15T00:00:00"
"HCDN0970","ACOSTA","MARIA JULIA","F","CATAMARCA","2007-12-10T00:00:00","2011-12-09T00:00:00","2007-12-05T00:00:00","2011-12-09T00:00:00","FRENTE PARA LA VICTORIA - PJ","2007-12-10T00:00:00","2011-12-09T00:00:00"
"HCDN3018","AGOST CARREÑO","OSCAR","M","CORDOBA","2021-12-10T00:00:00","2025-12-09T00:00:00","2023-08-23T00:00:00","2025-12-09T00:00:00","PRO","2023-08-23T00:00:00","2023-12-09T00:00:00"
"HCDN3018","AGOST CARREÑO","OSCAR","M","CORDOBA","2021-12-10T00:00:00","2025-12-09T00:00:00","2023-08-23T00:00:00","2025-12-09T00:00:00","CAMBIO FEDERAL","2023-12-10T00:00:00","2023-12-27T00:00:00"
"HCDN3018","AGOST CARREÑO","OSCAR","M","CORDOBA","2021-12-10T00:00:00","2025-12-09T00:00:00","2023-08-23T00:00:00","2025-12-09T00:00:00","HACEMOS COALICIÓN FEDERAL","2023-12-27T00:00:00","2024-08-07T00:00:00"
"HCDN3018","AGOST CARREÑO","OSCAR","M","CORDOBA","2021-12-10T00:00:00","2025-12-09T00:00:00","2023-08-23T00:00:00","2025-12-09T00:00:00","ENCUENTRO FEDERAL","2024-08-07T00:00:00","2025-12-09T00:00:00"
"HCDN0971","AGOSTO","WALTER ALFREDO","M","SANTA FE","2007-12-10T00:00:00","2011-12-09T00:00:00","2007-12-05T00:00:00","2011-12-09T00:00:00","FRENTE PARA LA VICTORIA - PJ","2007-12-10T00:00:00","2009-02-23T00:00:00"
"HCDN0971","AGOSTO","WALTER ALFREDO","M","SANTA FE","2007-12-10T00:00:00","2011-12-09T00:00:00","2007-12-05T00:00:00","2011-12-09T00:00:00","SANTA FE FEDERAL","2009-02-24T00:00:00","2009-12-09T00:00:00"
"HCDN0971","AGOSTO","WALTER ALFREDO","M","SANTA FE","2007-12-10T00:00:00","2011-12-09T00:00:00","2007-12-05T00:00:00","2011-12-09T00:00:00","PERONISMO FEDERAL","2009-12-10T00:00:00","2011-12-09T00:00:00"
"HCDN0845","AGUAD","OSCAR RAUL","M","CORDOBA","2009-12-10T00:00:00","2013-12-09T00:00:00","2009-12-03T00:00:00","2013-12-09T00:00:00","UCR","2009-12-10T00:00:00","2013-12-09T00:00:00"
