id_diputado,nombre,apellido,nombre_completo,genero,distritos,cantidad_distritos,cantidad_bloques,fecha_inicio,fecha_fin
hcdn0011,dulce,granados,dulce granados,f,buenos aires,1,1,2009-12-10,2017-12-09
hcdn0014,marcelo eduardo,lopez arias,marcelo eduardo lopez arias,m,salta,1,3,2007-12-10,2011-12-09
hcdn0019,mabel hilda,müller,mabel hilda müller,f,buenos aires,1,2,2009-12-10,2013-12-09
hcdn0022,miguel angel,pichetto,miguel angel pichetto,m,buenos aires,1,3,2023-12-10,2027-12-09
hcdn0035,mario raul,negri,mario raul negri,m,cordoba,1,1,2011-12-10,2023-12-09
hcdn0041,silvia beatriz,vazquez,silvia beatriz vazquez,f,buenos aires,1,2,2007-12-10,2011-12-09
hcdn0055,sergio,acevedo,sergio acevedo,m,santa cruz,1,2,2021-12-10,2025-12-09
hcdn0061,alfredo nestor,atanasof,alfredo nestor atanasof,m,buenos aires,1,2,2009-12-10,2013-12-09
hcdn0079,elisa maria avelina,carrio,elisa maria avelina carrio,f,ciudad de buenos aires,1,3,2009-12-10,2021-12-09
hcdn0083,mario,das neves,mario das neves,m,chubut,1,1,2013-12-10,2017-12-09
hcdn0096,nilda celia,garre,nilda celia garre,f,ciudad de buenos aires,1,1,2015-12-10,2019-12-09
hcdn0132,carlos,raimundi,carlos raimundi,m,buenos aires,1,4,2011-12-10,2015-12-09
hcdn0163,cesar alfredo,albrisi,cesar alfredo albrisi,m,cordoba,1,2,2007-12-10,2011-12-09
hcdn0173,graciela,camaño,graciela camaño,f,buenos aires,1,7,2007-12-10,2023-12-09
hcdn0181,diana beatriz,conti,diana beatriz conti,f,buenos aires,1,1,2009-12-10,2017-12-09
hcdn0230,adriana victoria,puiggros,adriana victoria puiggros,f,buenos aires,1,1,2007-12-10,2015-12-09
hcdn0235,jorge,rivas,jorge rivas,m,buenos aires,1,3,2007-12-10,2015-12-09
hcdn0238,eduardo,santin,eduardo santin,m,buenos aires,1,2,2011-12-10,2015-12-09
hcdn0240,daniel,scioli,daniel scioli,m,buenos aires,1,2,2017-12-10,2021-12-09
hcdn0244,margarita rosa,stolbizer,margarita rosa stolbizer,f,buenos aires,1,1,2009-12-10,2017-12-09
hcdn0298,jose luis,gioja,jose luis gioja,m,san juan,1,2,2015-12-10,2023-12-09
hcdn0303,leopoldo raul guido,moreau,leopoldo raul guido moreau,m,buenos aires,1,3,2017-12-10,2025-12-09
hcdn0313,jorge raul,yoma,jorge raul yoma,m,la rioja,1,2,2009-12-10,2013-12-09
hcdn0381,ricardo rodolfo,gil lavedra,ricardo rodolfo gil lavedra,m,ciudad de buenos aires,1,1,2009-12-10,2013-12-09
hcdn0403,franco agustin,caviglia,franco agustin caviglia,m,buenos aires,1,1,2013-12-10,2017-12-09
hcdn0409,zulema beatriz,daher,zulema beatriz daher,f,salta,1,3,2007-12-10,2011-12-09
